Sample Number,Locality,Coordinates,Collecting Event Notes,Locality2,County,State,Country,Latitude,Longitude,Date,Tree Number,TreeSpecies,TreeSpecies2,TreeSpecies3,Tree Block,Experiment,Approx. Location,Date Collected,Day,Month,Year,Month2,Month3,Feb,May,Jun,Jul,Aug,Sep,Oct,Nov,Sample Replicate,Grid Cell,Direction,GridCells,Dry Litter Mass (g),Notes,Date Sorted,Sorter,Acari,Parasitiformes,Amblypygy,Amphipoda,Araneae,Blattodea,Chilopoda,Coleoptera,Collembola,Dermaptera,Diplopoda,Diptera,Formicidae,Gastropoda,Hemiptera,Hirudinea,Hymenoptera,Isopoda,Isoptera,Lepidoptera,Mantodea,Onychophora,Opiliones,Orthoptera,Phasmida,Pseudoscorpiones,Ricinulei,Thysanoptera,Worms,Larvae,WormsLarvaeLeeches,Egg,Unknown,Notes
FOLT-001,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43131, -84.01144",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (supplemented; replicate 1; CE tree 1); see Brian Folt dissertation for details. FOLT-001.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimental Sur (CES), marker 600 m.",,Heredia Province,Costa Rica,10.43131,-84.01144,21-Feb-14,1,Castilla elastica,Castilla (supplemented),Castilla,1,Experimental,200 m south from CES 600,21-Feb-14,21,February,2014,2,1,1,0,0,0,0,0,0,0,1,9,4,9,26.1,NA,6-May-15,Brian Folt,18,0,0,0,1,1,0,1,6,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,NA,0,7,7,0,0,
FOLT-001,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43131, -84.01144",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (supplemented; replicate 1; CE tree 1); see Brian Folt dissertation for details. FOLT-001.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimental Sur (CES), marker 600 m.",,Heredia Province,Costa Rica,10.43131,-84.01144,21-Feb-14,1,Castilla elastica,Castilla (supplemented),Castilla,1,Experimental,200 m south from CES 600,21-Feb-14,21,February,2014,2,1,1,0,0,0,0,0,0,0,1,9,4,14,26.1,NA,6-May-15,Brian Folt,18,0,0,0,1,1,0,1,6,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,NA,0,7,7,0,0,
FOLT-002,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43131, -84.01144",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (supplemented; replicate 1; CE tree 1); see Brian Folt dissertation for details. FOLT-002.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimental Sur (CES), marker 600 m.",,Heredia Province,Costa Rica,10.43131,-84.01144,21-Feb-14,1,Castilla elastica,Castilla (supplemented),Castilla,1,Experimental,200 m south from CES 600,21-Feb-14,21,February,2014,2,1,1,0,0,0,0,0,0,0,2,19,4,19,6,NA,6-May-15,BF,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,6,6,0,0,
FOLT-003,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43131, -84.01144",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (supplemented; replicate 1; CE tree 1); see Brian Folt dissertation for details. FOLT-003.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimental Sur (CES), marker 600 m.",,Heredia Province,Costa Rica,10.43131,-84.01144,21-Feb-14,1,Castilla elastica,Castilla (supplemented),Castilla,1,Experimental,200 m south from CES 600,21-Feb-14,21,February,2014,2,1,1,0,0,0,0,0,0,0,3,10,1,10,38.2,NA,6-May-15,BF,51,0,0,0,4,0,0,1,12,0,5,0,6,0,0,0,2,3,0,0,0,0,0,0,0,1,0,NA,0,11,11,0,0,
FOLT-003,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43131, -84.01144",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (supplemented; replicate 1; CE tree 1); see Brian Folt dissertation for details. FOLT-003.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimental Sur (CES), marker 600 m.",,Heredia Province,Costa Rica,10.43131,-84.01144,21-Feb-14,1,Castilla elastica,Castilla (supplemented),Castilla,1,Experimental,200 m south from CES 600,21-Feb-14,21,February,2014,2,1,1,0,0,0,0,0,0,0,3,10,1,15,38.2,NA,6-May-15,BF,51,0,0,0,4,0,0,1,12,0,5,0,6,0,0,0,2,3,0,0,0,0,0,0,0,1,0,NA,0,11,11,0,0,
FOLT-003,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43131, -84.01144",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (supplemented; replicate 1; CE tree 1); see Brian Folt dissertation for details. FOLT-003.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimental Sur (CES), marker 600 m.",,Heredia Province,Costa Rica,10.43131,-84.01144,21-Feb-14,1,Castilla elastica,Castilla (supplemented),Castilla,1,Experimental,200 m south from CES 600,21-Feb-14,21,February,2014,2,1,1,0,0,0,0,0,0,0,3,10,1,16,38.2,NA,6-May-15,BF,51,0,0,0,4,0,0,1,12,0,5,0,6,0,0,0,2,3,0,0,0,0,0,0,0,1,0,NA,0,11,11,0,0,
FOLT-004,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43131, -84.01144",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (supplemented; replicate 1; CE tree 1); see Brian Folt dissertation for details. FOLT-004.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimental Sur (CES), marker 600 m.",,Heredia Province,Costa Rica,10.43131,-84.01144,21-Feb-14,1,Castilla elastica,Castilla (supplemented),Castilla,1,Experimental,200 m south from CES 600,21-Feb-14,21,February,2014,2,1,1,0,0,0,0,0,0,0,4,9,1,9,30.6,NA,6-May-15,BF,25,0,0,0,1,0,0,0,14,0,0,0,6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,NA,0,5,5,0,1,
FOLT-004,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43131, -84.01144",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (supplemented; replicate 1; CE tree 1); see Brian Folt dissertation for details. FOLT-004.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimental Sur (CES), marker 600 m.",,Heredia Province,Costa Rica,10.43131,-84.01144,21-Feb-14,1,Castilla elastica,Castilla (supplemented),Castilla,1,Experimental,200 m south from CES 600,21-Feb-14,21,February,2014,2,1,1,0,0,0,0,0,0,0,4,9,1,10,30.6,NA,6-May-15,BF,25,0,0,0,1,0,0,0,14,0,0,0,6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,NA,0,5,5,0,1,
FOLT-004,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43131, -84.01144",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (supplemented; replicate 1; CE tree 1); see Brian Folt dissertation for details. FOLT-004.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimental Sur (CES), marker 600 m.",,Heredia Province,Costa Rica,10.43131,-84.01144,21-Feb-14,1,Castilla elastica,Castilla (supplemented),Castilla,1,Experimental,200 m south from CES 600,21-Feb-14,21,February,2014,2,1,1,0,0,0,0,0,0,0,4,9,1,14,30.6,NA,6-May-15,BF,25,0,0,0,1,0,0,0,14,0,0,0,6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,NA,0,5,5,0,1,
FOLT-004,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43131, -84.01144",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (supplemented; replicate 1; CE tree 1); see Brian Folt dissertation for details. FOLT-004.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimental Sur (CES), marker 600 m.",,Heredia Province,Costa Rica,10.43131,-84.01144,21-Feb-14,1,Castilla elastica,Castilla (supplemented),Castilla,1,Experimental,200 m south from CES 600,21-Feb-14,21,February,2014,2,1,1,0,0,0,0,0,0,0,4,9,1,15,30.6,NA,6-May-15,BF,25,0,0,0,1,0,0,0,14,0,0,0,6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,NA,0,5,5,0,1,
