Number,Tree,TreeNo,TreeSpecies,PlotNo,Sesh,Occ,SeshOcc,Occ2,Date,Date2,SeshMonth,SeshMonth2,SpeciesCode,Status,Mark,Sex,AgeSex,AgeSex2,SVL,Mass,Location,Cell,Color,Notes,Perch,TL,Date2,Capture_Int1
1,DP4,8,Dipteryx panamensis,4,A,1,A1,1,29-Jan-14,41668,Feb,2,CRABRA,new,RF3,J,J,J,10,0.18,2NW,C2,,,Soil,,41668,0
2,DP4,8,Dipteryx panamensis,4,A,1,A1,1,29-Jan-14,41668,Feb,2,CRABRA,,,J,J,J,9,0.05,3SE,C3,,,Leaf litter,,41668,
3,DP4,8,Dipteryx panamensis,4,A,1,A1,1,29-Jan-14,41668,Feb,2,CRABRA,new,RH4,J,J,J,11,0.1,8SW,C8,,"dorsal-lateral stripes, clay colored heels",Leaf litter,,41668,0
4,DP4,8,Dipteryx panamensis,4,A,1,A1,1,29-Jan-14,41668,Feb,2,CRABRA,new,LH24,J,J,J,10,0.1,8SE,C8,,,Leaf litter,,41668,0
5,DP4,8,Dipteryx panamensis,4,A,1,A1,1,29-Jan-14,41668,Feb,2,CRABRA,new,LH4-A,J,J,J,8,0.05,7NW,C7,,,Leaf litter,,41668,0
6,DP4,8,Dipteryx panamensis,4,A,1,A1,1,29-Jan-14,41668,Feb,2,OOPPUM,,,AD,AD,,,,4NE,C4,,escape,Soil,NA,41668,
7,DP4,8,Dipteryx panamensis,4,A,1,A1,1,29-Jan-14,41668,Feb,2,CRABRA,new,LF4,M,M,J,12,0.13,12NE,C12,,,Leaf litter,,41668,0
8,DP4,8,Dipteryx panamensis,4,A,1,A1,1,29-Jan-14,41668,Feb,2,RHAHAE,new,LF1,F,F,,36,2.1,8NE,C8,,,Leaf litter,NA,41668,
9,DP4,8,Dipteryx panamensis,4,A,1,A1,1,29-Jan-14,41668,Feb,2,CRABRA,new,LF12,F,F,J,13,0.2,16SW,C16,L,dorsal lines <-- unclear whether this is Phyllobates or streaked at this point,Leaf litter,,41668,0
10,DP4,8,Dipteryx panamensis,4,A,1,A1,1,29-Jan-14,41668,Feb,2,CRABRA,,,J,J,J,,,16SW,C16,,escape,Leaf litter,,41668,
